ratings,price,brand,color,storage,processor_type,resolution,size
4.6,352,oneplus,silver,128GB,qualcomm,Full HD,6.5
4.4,395,oppo,blue,256GB,mediatek,Full HD,6.7
4.2,248,samsung,blue,256GB,samsung,Full HD,6.7
4.5,267,oppo,purple,64GB,mediatek,Full HD,6.3
4.4,388,realme,black,128GB,qualcomm,Full HD,6.6
4.4,298,samsung,purple,128GB,intel,Full HD,6.5
4.4,334,vivo,blue,128GB,mediatek,Full HD,6.8
4.5,388,redmi,white,256GB,qualcomm,Full HD,6.4
4.4,271,samsung,blue,64GB,samsung,Full HD,6.0
4.1,170,samsung,blue,64GB,samsung,Full HD,6.4
4.4,158,redmi,black,32GB,qualcomm,Full HD,6.3
4.2,109,oppo,silver,32GB,mediatek,HD,6.2
4.4,279,oppo,black,64GB,mediatek,Full HD,6.2
4.1,139,samsung,blue,32GB,mediatek,HD,6.5
4.1,145,redmi,black,128GB,intel,HD,6.5
4.3,371,motorola,gold,128GB,qualcomm,Full HD,6.5
4.3,242,vivo,gold,128GB,mediatek,Full HD,6.6
4.3,133,infinix,blue,64GB,mediatek,HD,6.6
4.1,206,samsung,white,128GB,intel,HD,6.5
4.2,121,oppo,gold,64GB,mediatek,HD,6.6
4.3,133,infinix,green,64GB,mediatek,HD,6.8
4.2,310,samsung,white,128GB,qualcomm,Full HD,6.7
4.2,158,samsung,black,64GB,mediatek,HD,6.4
4.3,288,oneplus,grey,128GB,intel,2K,6.7
4.1,336,samsung,black,128GB,samsung,Full HD,6.4
4.2,364,oppo,blue,256GB,mediatek,Full HD,6.4
4.0,263,oneplus,blue,256GB,intel,Full HD,6.5
4.4,139,realme,blue,64GB,mediatek,HD,6.5
4.3,279,oppo,black,64GB,qualcomm,Full HD,6.0
4.3,218,oppo,blue,128GB,qualcomm,Full HD,6.6
4.2,201,oneplus,green,256GB,intel,Full HD,6.7
4.1,261,motorola,grey,128GB,qualcomm,Full HD,6.6
4.4,255,oppo,blue,128GB,mediatek,Full HD,6.4
4.3,372,oneplus,black,128GB,intel,Full HD,6.7
4.3,145,infinix,green,128GB,mediatek,Full HD,6.8
4.2,109,redmi,white,32GB,qualcomm,HD,6.2
4.4,170,oppo,green,64GB,mediatek,HD,6.6
4.4,242,vivo,white,128GB,qualcomm,Full HD,6.5
4.3,218,oppo,black,128GB,mediatek,HD,6.5
4.1,177,samsung,blue,128GB,intel,4K,6.4
4.4,279,oppo,black,128GB,mediatek,Full HD,6.4
4.3,121,infinix,green,64GB,mediatek,HD,6.8
4.3,255,samsung,black,128GB,samsung,Full HD,6.5
4.4,158,realme,blue,128GB,mediatek,HD,6.5
4.4,303,realme,blue,128GB,mediatek,Full HD,6.7
4.2,100,tecno,blue,32GB,mediatek,HD,6.5
4.2,139,infinix,black,64GB,mediatek,4K,6.6
4.2,322,samsung,black,128GB,qualcomm,Full HD,6.5
4.2,115,vivo,green,32GB,mediatek,HD,6.5
4.3,230,vivo,black,128GB,mediatek,HD,6.5
4.3,169,redmi,black,64GB,mediatek,Full HD,6.4
4.3,113,redmi,black,64GB,mediatek,Full HD,6.6
4.2,290,samsung,green,256GB,qualcomm,4K,7.6
4.3,218,redmi,blue,128GB,qualcomm,Full HD,6.3
4.2,237,samsung,blue,128GB,intel,HD,6.5
4.2,148,samsung,black,64GB,samsung,4K,6.4
3.9,121,motorola,grey,64GB,mediatek,HD,6.5
4.4,376,vivo,black,128GB,mediatek,Full HD,6.4
4.2,194,infinix,blue,256GB,mediatek,Full HD,6.8
4.1,178,redmi,black,64GB,intel,Full HD,6.4
4.3,121,redmi,black,64GB,qualcomm,HD,6.7
4.3,255,oppo,gold,64GB,mediatek,Full HD,5.5
4.2,156,samsung,blue,32GB,qualcomm,HD,6.5
4.6,115,samsung,blue,32GB,qualcomm,2K,6.3
4.3,194,oppo,gold,64GB,mediatek,HD,6.2
4.2,255,xiaomi,blue,128GB,intel,4K,6.5
4.5,395,vivo,blue,128GB,qualcomm,Full HD,6.4
4.1,334,samsung,blue,128GB,samsung,Full HD,6.4
4.4,359,realme,black,256GB,qualcomm,Full HD,6.6
4.3,194,redmi,gold,64GB,qualcomm,Full HD,6.7
4.3,162,samsung,black,128GB,intel,Full HD,6.4
4.4,145,redmi,gold,64GB,qualcomm,Full HD,6.0
4.3,218,redmi,white,128GB,qualcomm,Full HD,6.7
4.4,279,vivo,black,128GB,mediatek,Full HD,6.6
4.4,157,vivo,blue,64GB,qualcomm,HD,6.5
4.2,133,infinix,green,64GB,mediatek,Full HD,7.0
4.4,145,oppo,blue,64GB,qualcomm,HD,6.5
4.4,170,oppo,blue,64GB,qualcomm,Full HD,6.4
4.3,267,oppo,green,128GB,qualcomm,HD,6.5
4.5,132,oppo,black,64GB,qualcomm,HD,6.5
4.0,350,xiaomi,black,128GB,intel,4K,6.7
4.3,145,vivo,gold,64GB,mediatek,HD,6.5
4.4,328,realme,blue,128GB,mediatek,Full HD,6.4
4.3,182,redmi,blue,128GB,qualcomm,Full HD,6.7
4.3,121,infinix,black,64GB,mediatek,HD,6.6
4.2,108,redmi,green,64GB,intel,HD,6.7
4.0,255,oneplus,black,256GB,intel,4K,6.3
4.3,176,samsung,white,64GB,samsung,Full HD,6.6
4.3,188,realme,blue,64GB,mediatek,Full HD,6.5
4.2,163,oppo,black,32GB,mediatek,HD,5.7
4.3,127,samsung,blue,128GB,samsung,Full HD,6.6
4.2,182,samsung,green,128GB,intel,HD,6.5
4.0,121,tecno,black,64GB,mediatek,HD,6.6
4.4,109,redmi,black,32GB,qualcomm,HD,6.2
4.3,144,vivo,blue,64GB,qualcomm,HD,6.5
4.1,334,realme,silver,128GB,qualcomm,Full HD,6.4
3.8,388,oneplus,green,128GB,qualcomm,Full HD,6.5
4.3,145,tecno,grey,64GB,mediatek,HD,7.0
4.2,136,motorola,grey,64GB,qualcomm,Full HD,6.6
4.2,303,xiaomi,green,128GB,mediatek,Full HD,6.7
4.2,328,xiaomi,green,128GB,mediatek,Full HD,6.7
4.3,133,samsung,blue,32GB,samsung,Full HD,6.4
4.2,255,redmi,blue,128GB,intel,Full HD,6.6
4.4,218,realme,black,128GB,qualcomm,Full HD,6.4
4.4,133,redmi,green,128GB,mediatek,Full HD,6.6
4.2,182,mi,blue,64GB,qualcomm,HD,6.1
4.2,206,oppo,purple,128GB,mediatek,4K,6.5
4.5,347,oneplus,blue,256GB,intel,2K,6.7
4.3,298,samsung,purple,256GB,qualcomm,Full HD,6.4
4.2,121,redmi,purple,64GB,intel,HD,6.5
4.1,115,tecno,white,32GB,intel,HD,7.0
4.2,170,samsung,green,128GB,samsung,4K,6.6
4.1,188,motorola,grey,128GB,qualcomm,Full HD,6.5
4.3,182,mi,silver,32GB,qualcomm,Full HD,6.4
4.2,151,tecno,purple,64GB,mediatek,HD,6.5
4.3,328,vivo,blue,128GB,qualcomm,Full HD,6.6
4.2,230,samsung,blue,128GB,intel,HD,6.5
4.2,145,motorola,grey,64GB,mediatek,Full HD,6.4
4.2,109,redmi,grey,64GB,intel,HD,6.5
4.2,376,samsung,white,128GB,qualcomm,4K,6.7
4.4,194,oppo,blue,128GB,mediatek,HD,6.5
4.2,303,redmi,blue,128GB,mediatek,Full HD,6.7
4.3,206,oppo,white,128GB,qualcomm,Full HD,6.5
4.2,267,mi,blue,128GB,qualcomm,Full HD,6.5
4.5,164,realme,blue,128GB,qualcomm,Full HD,6.6
4.4,127,realme,black,64GB,mediatek,HD,6.5
4.4,158,redmi,blue,64GB,qualcomm,Full HD,6.3
4.2,206,redmi,green,128GB,mediatek,Full HD,6.6
4.2,243,redmi,black,128GB,intel,Full HD,6.6
4.5,128,vivo,black,128GB,mediatek,Full HD,6.8
4.5,290,vivo,gold,128GB,mediatek,Full HD,6.4
4.1,261,motorola,white,128GB,qualcomm,Full HD,6.6
4.4,279,oppo,black,64GB,mediatek,Full HD,6.2
4.3,119,vivo,blue,32GB,intel,HD,6.5
3.9,128,oneplus,black,256GB,intel,2K,6.7
4.0,316,samsung,grey,128GB,samsung,Full HD,6.7
4.5,194,oppo,white,64GB,qualcomm,HD,6.5
4.3,145,infinix,silver,128GB,mediatek,Full HD,6.8
4.2,105,redmi,purple,64GB,intel,HD,6.7
4.2,255,redmi,white,128GB,intel,Full HD,6.6
4.5,182,vivo,black,128GB,mediatek,Full HD,6.6
4.3,127,tecno,blue,64GB,mediatek,HD,6.8
4.4,206,vivo,gold,128GB,qualcomm,Full HD,6.6
4.3,182,mi,gold,32GB,qualcomm,Full HD,6.4
4.3,176,samsung,black,64GB,mediatek,HD,6.5
4.2,486,oppo,purple,256GB,qualcomm,Full HD,6.7
4.5,395,oppo,blue,256GB,mediatek,Full HD,6.7
4.4,316,oneplus,blue,128GB,intel,4K,6.4
4.4,103,oneplus,black,128GB,intel,2K,6.7
4.2,169,redmi,white,64GB,intel,Full HD,6.4
4.2,151,vivo,blue,64GB,intel,HD,6.5
4.2,100,infinix,blue,64GB,mediatek,HD,6.8
4.3,230,samsung,blue,64GB,samsung,Full HD,6.4
3.9,170,samsung,silver,64GB,samsung,Full HD,6.6
4.2,133,infinix,black,64GB,mediatek,Full HD,7.0
4.2,298,samsung,white,128GB,qualcomm,Full HD,6.5
4.2,253,realme,blue,128GB,mediatek,4K,6.4
4.3,121,vivo,black,32GB,mediatek,HD,6.2
4.1,322,realme,black,256GB,mediatek,Full HD,6.7
4.5,118,oppo,blue,64GB,mediatek,HD,6.6
4.4,133,realme,blue,32GB,mediatek,HD,6.5
4.0,206,redmi,green,128GB,qualcomm,Full HD,6.7
4.3,170,redmi,black,128GB,intel,Full HD,6.7
4.1,267,samsung,silver,128GB,qualcomm,Full HD,6.6
4.2,395,redmi,blue,256GB,mediatek,Full HD,6.7
4.5,170,tecno,black,128GB,intel,HD,6.6
4.4,328,vivo,black,64GB,mediatek,Full HD,6.5
4.4,212,redmi,purple,128GB,mediatek,Full HD,6.4
4.3,206,vivo,black,64GB,qualcomm,HD,6.5
4.6,383,realme,white,256GB,qualcomm,Full HD,6.5
4.2,127,redmi,purple,128GB,intel,HD,6.7
4.3,164,redmi,green,64GB,qualcomm,Full HD,6.5
4.5,194,redmi,blue,64GB,qualcomm,Full HD,6.3
4.4,170,oppo,black,64GB,mediatek,HD,6.6
4.2,127,vivo,gold,64GB,mediatek,HD,6.5
4.3,297,oneplus,blue,128GB,intel,Full HD,6.4
4.4,141,tecno,black,128GB,mediatek,HD,6.6
3.9,206,motorola,white,128GB,mediatek,Full HD,6.5
4.2,132,motorola,green,64GB,qualcomm,Full HD,6.5
4.0,206,infinix,white,256GB,mediatek,Full HD,6.8
4.3,182,redmi,white,64GB,intel,Full HD,6.7
4.4,291,vivo,blue,128GB,qualcomm,Full HD,6.4
4.5,206,redmi,black,64GB,qualcomm,Full HD,6.0
4.2,136,samsung,blue,64GB,intel,HD,6.6
4.3,170,oppo,green,128GB,mediatek,HD,6.5
4.3,326,mi,silver,128GB,qualcomm,Full HD,6.7
4.3,361,vivo,blue,128GB,mediatek,Full HD,6.6
4.3,182,vivo,green,128GB,mediatek,Full HD,6.6
4.5,388,redmi,black,256GB,qualcomm,Full HD,6.4
4.4,425,oppo,blue,256GB,mediatek,Full HD,6.5
4.4,206,samsung,blue,128GB,mediatek,Full HD,6.4
4.3,364,oneplus,green,256GB,intel,Full HD,6.4
4.1,303,motorola,grey,128GB,qualcomm,Full HD,6.5
4.3,291,realme,black,128GB,mediatek,Full HD,6.7
4.3,334,mi,black,128GB,qualcomm,Full HD,6.0
4.4,437,oppo,black,256GB,mediatek,Full HD,6.4
4.3,103,vivo,grey,32GB,mediatek,HD,6.5
4.3,182,redmi,black,128GB,qualcomm,Full HD,6.7
4.4,139,vivo,white,64GB,qualcomm,HD,6.5
4.1,121,redmi,grey,32GB,intel,HD,6.5
4.2,334,vivo,blue,256GB,mediatek,Full HD,6.4
4.2,100,tecno,green,32GB,intel,HD,6.5
4.3,194,vivo,black,128GB,mediatek,Full HD,6.6
4.1,182,samsung,black,128GB,samsung,Full HD,6.6
4.5,395,oppo,blue,256GB,mediatek,Full HD,6.7
4.2,123,samsung,black,64GB,qualcomm,HD,6.5
4.3,395,vivo,black,256GB,mediatek,Full HD,6.4
4.2,127,redmi,black,128GB,mediatek,HD,6.7
3.9,334,oneplus,grey,256GB,intel,4K,6.7
4.2,273,mi,silver,128GB,qualcomm,Full HD,6.7
4.2,158,samsung,black,64GB,samsung,Full HD,6.4
4.2,151,tecno,gold,64GB,mediatek,HD,6.5
4.5,395,oneplus,blue,256GB,qualcomm,2K,6.7
4.2,185,redmi,black,128GB,intel,Full HD,6.6
4.4,158,realme,blue,128GB,qualcomm,HD,6.5
4.4,243,vivo,black,32GB,qualcomm,Full HD,6.3
4.3,249,samsung,black,128GB,samsung,Full HD,6.7
4.3,106,tecno,blue,64GB,intel,HD,6.6
4.2,170,motorola,white,128GB,qualcomm,Full HD,6.6
4.3,206,vivo,gold,128GB,mediatek,HD,6.5
4.3,121,samsung,black,32GB,mediatek,HD,6.2
4.0,206,samsung,black,128GB,samsung,HD,6.5
4.3,196,samsung,purple,64GB,samsung,Full HD,6.4
4.2,157,redmi,black,64GB,intel,Full HD,6.4
4.3,218,redmi,white,128GB,qualcomm,Full HD,6.7
4.4,133,vivo,black,32GB,qualcomm,HD,6.2
4.1,149,redmi,black,128GB,intel,Full HD,6.5
4.3,182,redmi,white,64GB,qualcomm,Full HD,6.4
4.2,156,realme,black,64GB,intel,4K,6.7
4.2,370,samsung,purple,128GB,qualcomm,Full HD,6.5
4.3,395,samsung,black,128GB,intel,4K,6.7
4.3,148,oneplus,green,256GB,intel,2K,6.7
4.3,206,redmi,black,128GB,qualcomm,Full HD,6.7
4.1,173,samsung,blue,64GB,samsung,Full HD,6.4
4.2,158,redmi,silver,64GB,intel,Full HD,6.6
4.4,154,redmi,gold,64GB,qualcomm,Full HD,5.5
4.3,303,realme,green,128GB,mediatek,Full HD,6.4
4.2,107,redmi,black,64GB,intel,HD,6.7
4.2,130,tecno,blue,64GB,mediatek,4K,6.9
4.2,249,xiaomi,blue,256GB,qualcomm,Full HD,6.7
4.3,206,vivo,black,64GB,mediatek,HD,6.5
4.2,206,infinix,black,128GB,mediatek,Full HD,6.7
4.4,128,vivo,blue,256GB,qualcomm,Full HD,6.6
4.4,188,oppo,silver,128GB,qualcomm,Full HD,6.4
4.3,322,vivo,black,256GB,mediatek,Full HD,6.4
4.5,164,vivo,blue,64GB,mediatek,HD,6.5
4.1,249,mi,black,128GB,qualcomm,Full HD,6.0
4.2,395,oppo,blue,256GB,mediatek,Full HD,6.7
4.2,206,infinix,blue,256GB,mediatek,Full HD,6.7
4.4,230,realme,blue,128GB,qualcomm,Full HD,6.6
3.9,206,infinix,blue,64GB,mediatek,4K,5.9
4.5,255,realme,white,128GB,qualcomm,Full HD,6.5
4.3,114,vivo,blue,32GB,mediatek,HD,6.2
4.4,395,oppo,blue,256GB,mediatek,Full HD,6.7
4.1,388,samsung,blue,128GB,samsung,Full HD,6.5
4.3,370,samsung,white,128GB,qualcomm,4K,6.7
4.4,243,redmi,black,128GB,mediatek,Full HD,6.5
4.3,230,oppo,black,256GB,mediatek,Full HD,6.4
4.5,364,oppo,black,128GB,mediatek,Full HD,6.5
4.4,170,oppo,black,128GB,qualcomm,Full HD,6.5
4.0,371,samsung,green,128GB,intel,Full HD,6.7
4.3,194,samsung,blue,64GB,samsung,Full HD,6.4
4.4,310,vivo,black,256GB,mediatek,Full HD,6.8
4.3,157,samsung,green,128GB,samsung,HD,6.5
4.1,291,mi,silver,128GB,qualcomm,Full HD,6.7
4.3,220,oppo,black,128GB,intel,HD,6.6
4.4,154,redmi,blue,64GB,qualcomm,Full HD,5.5
4.2,157,redmi,black,64GB,intel,Full HD,6.4
4.2,198,redmi,blue,128GB,intel,HD,6.4
4.2,260,xiaomi,black,128GB,qualcomm,4K,6.5
4.2,262,redmi,blue,128GB,intel,Full HD,6.7
4.3,303,oneplus,grey,128GB,intel,Full HD,6.4
4.4,165,redmi,grey,64GB,qualcomm,HD,6.0
4.4,148,oppo,blue,64GB,mediatek,HD,6.6
4.4,364,oneplus,grey,128GB,intel,4K,6.4
4.2,328,redmi,blue,256GB,mediatek,Full HD,6.7
4.0,133,samsung,blue,32GB,mediatek,HD,6.2
4.4,157,vivo,black,32GB,mediatek,HD,6.5
4.5,206,redmi,blue,64GB,qualcomm,Full HD,6.0
4.2,141,samsung,blue,64GB,mediatek,HD,6.6
4.1,133,infinix,black,32GB,mediatek,4K,6.0
4.4,140,realme,green,128GB,mediatek,HD,6.5
4.4,121,vivo,blue,32GB,qualcomm,HD,6.3
4.3,218,redmi,green,128GB,qualcomm,Full HD,6.4
4.3,164,vivo,blue,128GB,mediatek,HD,6.5
4.2,285,oneplus,blue,128GB,intel,Full HD,6.4
4.2,158,realme,blue,64GB,mediatek,HD,6.5
4.3,206,vivo,black,128GB,mediatek,HD,6.5
4.2,133,samsung,blue,64GB,qualcomm,HD,6.5
4.5,219,oppo,green,256GB,mediatek,Full HD,6.5
4.3,303,vivo,black,128GB,qualcomm,Full HD,6.4
4.4,206,vivo,white,128GB,qualcomm,Full HD,6.6
4.2,133,redmi,green,128GB,qualcomm,HD,6.7
4.1,166,tecno,blue,128GB,mediatek,4K,6.9
3.9,158,tecno,blue,128GB,intel,4K,6.8
4.3,206,vivo,blue,64GB,qualcomm,HD,6.5
4.4,213,samsung,black,64GB,samsung,4K,6.4
4.2,145,redmi,blue,64GB,intel,Full HD,6.5
4.3,100,vivo,black,32GB,mediatek,HD,6.2
4.3,188,samsung,green,128GB,qualcomm,Full HD,6.6
4.3,121,vivo,black,32GB,qualcomm,HD,6.5
4.3,237,vivo,black,128GB,intel,Full HD,6.8
4.3,303,vivo,blue,128GB,mediatek,Full HD,6.4
4.4,291,samsung,black,64GB,samsung,4K,6.4
4.4,364,oneplus,silver,128GB,intel,Full HD,6.5
4.0,119,oppo,silver,32GB,intel,HD,6.5
4.2,371,samsung,black,128GB,qualcomm,Full HD,6.7
4.3,156,samsung,black,32GB,qualcomm,HD,6.5
4.3,260,samsung,silver,128GB,intel,Full HD,6.5
4.2,243,motorola,grey,128GB,qualcomm,Full HD,6.6
4.2,109,tecno,purple,64GB,mediatek,4K,6.6
4.2,171,samsung,silver,128GB,mediatek,Full HD,6.7
4.2,279,mi,black,128GB,qualcomm,Full HD,6.7
4.5,228,samsung,black,128GB,samsung,Full HD,6.4
4.5,145,realme,blue,64GB,qualcomm,HD,6.5
4.2,138,samsung,black,64GB,samsung,4K,6.4
4.3,220,oppo,blue,128GB,intel,HD,6.6
4.2,375,samsung,black,128GB,qualcomm,4K,6.7
4.2,278,xiaomi,black,128GB,qualcomm,4K,6.5
3.8,236,vivo,black,256GB,mediatek,Full HD,6.8
4.2,121,motorola,green,64GB,qualcomm,Full HD,6.5
4.1,121,motorola,gold,32GB,mediatek,HD,5.5
4.4,334,vivo,black,128GB,mediatek,Full HD,6.8
4.3,102,tecno,purple,64GB,mediatek,Full HD,6.6
4.3,230,oppo,blue,64GB,mediatek,HD,6.5
4.3,152,samsung,green,128GB,intel,Full HD,6.1
4.3,133,infinix,purple,64GB,mediatek,HD,6.8
4.2,388,oppo,black,256GB,mediatek,Full HD,6.4
4.3,182,redmi,gold,128GB,qualcomm,Full HD,6.7
4.1,145,redmi,grey,64GB,qualcomm,HD,5.5
4.1,104,tecno,blue,64GB,mediatek,HD,6.6
4.4,194,oppo,green,64GB,mediatek,HD,6.2
4.2,102,tecno,blue,64GB,mediatek,4K,6.6
4.2,121,vivo,gold,64GB,mediatek,HD,6.5
4.5,103,realme,black,32GB,mediatek,HD,6.2
4.3,115,vivo,white,32GB,mediatek,HD,6.5
4.4,161,oppo,green,64GB,intel,HD,6.6
4.4,291,oppo,green,128GB,mediatek,4K,6.5
4.2,182,infinix,blue,128GB,mediatek,Full HD,6.7
4.1,128,mi,green,128GB,qualcomm,Full HD,6.7
4.5,291,vivo,black,64GB,qualcomm,Full HD,6.3
4.2,176,redmi,white,64GB,intel,Full HD,6.5
4.1,151,samsung,black,64GB,samsung,HD,6.5
4.4,331,vivo,blue,256GB,mediatek,Full HD,6.4
4.4,170,vivo,blue,64GB,qualcomm,HD,6.3
4.2,310,vivo,black,256GB,mediatek,Full HD,6.6
